,initial_age,weight,family_kind,race,marital_status,accumulated_capital,annual_contribution,income
42,61,572,2,1,3,312897.41328443354,0.15,133564.14
43,58,561,1,1,1,115164.68494862856,0.3,42458.79
44,61,591,1,1,1,-288024.5286338032,0.03,53212.75
45,58,578,3,1,3,-76152.12977154632,0.19,21363.84
46,59,552,1,1,1,70608.95330695083,0.3,68136.23
47,47,352,1,1,1,-16805.635923251513,0.31,13052.38
48,43,343,2,1,4,-74450.23492616149,0.26,39049.45
49,58,299,2,1,2,54474.15652553393,0.21,10855.47
50,63,277,2,1,2,13275.353696893955,0.16,30094.21
51,58,614,1,1,1,26081.51110228662,0.32,74806.7
52,57,561,3,1,3,-156766.05452016505,0.15,129884.1
53,57,561,2,1,5,53907.622742241954,0.33,78668.12
54,36,586,2,1,5,-300932.71179366106,0.08,56216.08
55,41,345,3,1,3,-155386.19432056436,0.12,88141.94
56,45,345,2,1,3,-318099.0412904626,0.06,7139.79
57,56,561,1,1,1,2461.4020875907363,0.15,174692.59
58,54,323,3,4,2,-231146.0318660896,0.34,24218.73
59,54,309,2,4,3,-12806.915851703556,0.33,104263.74
60,49,336,1,1,1,231441.34599615284,0.03,61816.81
61,42,319,1,1,1,130759.59859973984,0.15,157907.15
62,44,339,3,1,3,-304540.0210990801,0.12,94991.87
63,59,339,2,1,3,90914.20617094856,0.22,376312.67
64,61,591,3,1,3,11859.406414273508,0.06,55895.78
65,52,591,1,1,1,-36269.28292974959,0.3,49733.75
66,46,308,3,4,5,90987.8405475623,0.17,61559.74
67,39,587,3,1,1,77235.72721445581,0.02,59571.22
68,53,621,1,1,1,-103836.88056915942,0.01,37751.87
69,38,318,2,1,5,-234147.52690218712,0.31,75290.88
70,39,318,3,1,5,48841.01844383768,0.12,88026.35
71,56,614,1,1,1,17052.563325526007,0.1,79522.49
72,36,360,2,1,5,-41291.95872972282,0.25,73312.87
73,35,332,1,1,1,154144.34565725044,0.12,159441.68
74,41,562,1,1,1,-60060.31403003638,0.15,21611.6
75,53,551,3,1,3,-22383.21130112624,0.18,122493.94
76,51,551,3,1,3,68897.18315702399,0.24,20579.23
77,46,551,2,1,5,-36004.11969600011,0.21,130420.85
78,61,521,3,1,3,-281223.5202413987,0.09,161155.25
79,58,578,1,1,1,295660.46547998633,0.24,63965.45
80,63,638,2,1,3,141930.75546871268,0.23,51753.44
81,58,578,1,1,1,-218667.17030405908,0.29,160078.61
82,58,613,1,1,1,-142302.07128242185,0.17,56648.2
83,60,656,3,1,3,23880.757771127057,0.31,69421.76
84,61,525,2,1,5,-65315.48036080689,0.2,28219.27
85,61,545,1,1,1,-117564.03148357036,0.26,39916.74
86,60,299,1,1,1,566626.7210408133,0.09,52771.61
87,44,304,1,1,1,58241.12243267061,0.2,104522.24
88,40,286,3,1,5,-149009.61201093585,0.07,57160.46
89,40,336,1,1,1,68205.02537586076,0.2,95143.59
90,59,308,1,1,1,-5160.777793190488,0.05,144027.12
91,48,302,1,1,1,-15102.0281018622,0.2,87203.32
92,42,337,1,1,1,12453.799121462103,0.29,14758.88
93,54,621,1,1,1,-98606.17089825076,0.09,10895.86
94,63,354,3,1,3,-141460.4576426003,0.32,21636.64
95,46,308,1,1,1,-112742.5766807204,0.31,64365.24
96,35,344,1,1,1,85714.04587024963,0.33,58251.76
97,61,350,3,1,3,41240.72846860808,0.12,198938.74
98,47,644,1,1,1,123068.31747253932,0.09,52899.96
99,59,613,3,1,3,-75397.65738214241,0.01,25503.55
100,52,569,2,1,3,1848.4674081593148,0.04,54640.49
101,48,593,3,1,5,19046.270499889462,0.25,160142.23
102,61,619,3,1,3,-52402.52717317276,0.16,113877.45
103,39,318,3,1,3,95933.85247965416,0.05,57786.34
104,37,318,2,1,3,7424.720190636249,0.25,63316.68
105,59,593,2,1,3,137729.87877768106,0.28,37000.06
106,45,593,3,1,3,40014.55173178135,0.01,215954.02
107,58,587,1,1,1,371793.1304393215,0.23,62727.65
108,47,578,3,1,3,-99001.55058647488,0.25,28268.3
109,63,615,3,1,3,-195721.7965811589,0.01,111729.39
110,49,305,1,1,1,91594.17743422095,0.04,75531.16
111,49,302,1,1,1,162338.2463931727,0.13,112679.4
112,49,294,1,1,1,192751.98608077937,0.07,32318.91
113,62,621,2,1,3,33630.11407302681,0.1,125234.53
114,59,578,1,1,1,24171.20366299901,0.14,110307.02
115,52,625,2,1,5,256293.80563945996,0.01,57453.19
116,47,660,1,1,1,-126034.98436208656,0.18,29245.92
117,53,569,2,1,3,45757.19302455328,0.18,77382.99
118,51,594,1,1,1,-33427.59410116461,0.09,80367.6
119,61,621,1,1,1,100153.81049732308,0.02,88950.05
120,60,656,1,1,1,-88379.62579785292,0.07,43351.34
121,48,295,2,1,3,-224387.47380531963,0.33,102636.11
122,48,316,3,1,4,-23648.75344788534,0.35,44450.44
123,52,551,3,1,3,13119.787106220894,0.19,90855.46
124,61,572,2,1,3,-100762.9845913296,0.29,84754.5
125,61,234,2,3,3,37497.14759878947,0.32,29860.2
126,46,320,3,1,5,-128427.9618024882,0.05,70151.9
127,42,320,3,1,3,-141939.99621777798,0.06,53562.48
128,39,345,2,1,5,111441.6532049696,0.1,60305.96
129,52,281,1,1,1,-185846.0331145129,0.28,58115.38
130,47,336,1,1,1,78009.97737503791,0.26,99067.06
131,43,286,1,1,1,-125129.87124045928,0.0,51966.2
132,45,660,3,1,5,141408.59409807788,0.24,53886.98
133,51,294,1,1,1,-103227.75913656502,0.26,23442.32
134,48,647,2,1,3,268609.7489375139,0.23,73566.19
135,43,647,3,1,3,-101251.57768616812,0.12,85494.99
136,62,551,1,1,1,81473.81949865304,0.01,109908.68
137,55,616,2,1,3,-27932.26234443296,0.2,30310.7
138,60,591,1,1,1,14841.9098354652,0.22,94887.7
139,56,578,3,1,3,-80557.92261113154,0.05,26025.03
140,41,313,1,1,1,41117.70627242291,0.33,114119.75
141,44,343,1,1,1,-110688.9967095426,0.34,157461.39
142,56,614,3,1,3,71227.91380542977,0.07,22644.36
143,42,301,1,1,1,-121148.04553647494,0.25,123353.9
144,36,309,1,1,1,-283621.484612912,0.35,48445.99
145,38,309,1,1,1,-89224.19803506618,0.04,88139.92
146,56,309,2,1,3,34649.310858522986,0.32,69145.72
147,39,309,3,1,5,-143656.70286273304,0.27,32475.48
148,59,616,2,1,2,8308.1430673426,0.14,164074.42
149,63,579,3,1,3,-19851.525100317973,0.02,36641.65
150,43,579,2,1,3,110978.578445517,0.1,11150.01
151,56,666,1,1,1,-92243.11306176538,0.21,50002.81
152,44,666,3,1,5,169697.1079381156,0.02,60947.42
153,41,328,1,1,1,32657.40996676645,0.13,38868.96
154,38,328,1,1,1,-3020.0150899846744,0.13,63013.24
155,42,591,1,1,1,-64389.0430594834,0.2,19861.26
156,48,660,1,1,1,-274492.0067383053,0.06,43646.5
157,40,300,3,1,2,74757.44698667098,0.13,53896.68
158,41,300,2,1,5,-157394.15669368842,0.26,74255.69
159,63,663,3,1,3,-105870.1895272634,0.08,42006.6
160,60,614,1,1,1,62668.138839211264,0.02,101508.46
161,56,550,2,1,3,634590.6708282295,0.23,140292.64
162,52,587,3,1,3,-301269.1922862795,0.01,48102.79
163,62,278,3,1,3,-34827.19201069689,0.1,77767.88
164,40,345,1,1,1,70789.52191176618,0.07,111472.45
165,57,359,2,4,3,52285.80463702983,0.01,95411.43
166,50,317,3,1,3,7417.363575260744,0.16,84297.0
167,47,315,1,1,1,-123906.24690713736,0.29,65756.83
168,63,656,1,1,1,62001.81409711784,0.31,120827.57
169,53,621,3,1,5,-91037.871744777,0.01,20949.18
170,60,656,3,1,3,234119.84024046463,0.18,106481.19
171,57,551,1,1,1,88725.62806231248,0.02,140781.32
172,61,521,1,1,1,-12888.94858958734,0.31,29014.57
173,50,551,3,1,5,-97233.82075859056,0.07,19770.57
174,42,278,2,1,3,-13350.80457041318,0.34,86024.03
175,53,331,1,1,1,21537.37814086863,0.29,55537.47
176,42,332,3,4,3,58061.34464492171,0.32,48537.79
177,38,313,3,1,2,-35402.143310300984,0.02,146662.65
178,37,357,2,1,5,151715.25589027497,0.18,42247.37
179,55,616,2,1,3,47156.2698422152,0.17,87771.61
180,51,594,1,1,1,-61201.89511457091,0.35,23320.12
181,45,591,3,1,3,-79096.04505367641,0.22,42604.06
182,57,562,2,1,3,236171.9968276771,0.25,24846.6
183,57,613,1,1,1,47872.33536446839,0.02,36325.84
184,56,550,2,1,3,726941.1368131585,0.17,41008.89
185,47,593,1,1,1,489696.7837195629,0.09,88146.36
186,58,614,1,1,1,740381.6431887951,0.02,13044.17
187,38,318,1,1,1,116477.6065014968,0.04,30077.11
188,57,545,2,1,3,16467.99678445813,0.22,91619.36
189,54,561,1,1,1,77480.99346966618,0.03,120044.24
190,52,294,1,1,1,14255.68297581187,0.14,180701.58
191,51,315,1,1,1,18151.864244254142,0.13,28341.54
192,35,313,1,1,1,-55020.413722034325,0.04,140469.02
193,57,660,1,1,1,71160.93739660742,0.07,86435.52
194,38,313,1,1,1,77018.3531855649,0.32,168009.51
195,41,300,1,1,1,94420.47725503628,0.09,12123.9
196,50,322,3,1,3,-97046.9446753114,0.06,97117.62
197,36,306,2,1,5,7789.398865698812,0.16,94730.34
198,37,306,3,1,3,-26954.691312988783,0.16,45720.41
199,49,338,2,1,3,-60172.45841953243,0.16,87047.13
200,45,266,1,1,1,-107629.67983594596,0.19,133606.92
201,50,336,1,1,1,448467.57118270645,0.31,98259.53
202,35,338,1,4,1,81187.16888335101,0.04,7315.7
203,56,578,3,1,3,10963.066074047883,0.12,110367.45
204,47,315,3,1,3,-55023.80023558719,0.08,22553.47
205,41,315,2,1,3,19138.351018535013,0.13,33720.31
206,42,328,1,1,1,58195.93590851216,0.2,86326.63
207,58,616,2,1,5,-66794.24432638362,0.12,48719.25
208,62,350,1,1,1,25021.72851917536,0.33,74804.85
209,48,660,2,1,3,29774.500860311487,0.31,3258.46
210,49,660,3,1,5,-39718.10504550262,0.22,34416.66
211,51,331,3,1,3,85609.03374787928,0.27,74450.97
212,46,352,1,1,1,89115.88198097725,0.16,72442.97
213,47,567,2,1,3,26681.19872580972,0.06,79478.97
214,46,295,2,1,2,650593.3372563366,0.15,12720.97
215,51,587,1,1,1,114763.87312870266,0.01,46979.03
216,50,587,3,1,3,-91820.09719202736,0.14,15256.18
217,54,551,3,1,2,-72022.03093471643,0.09,4243.51
218,52,551,3,1,3,33970.87003446786,0.16,61110.34
219,55,294,1,1,1,17458.105848037885,0.14,57864.69
220,55,561,1,1,1,-108542.57872303748,0.25,175353.24
221,58,545,2,1,5,-368455.2304815564,0.22,147944.41
222,59,561,1,1,1,-106175.68692932502,0.24,95829.59
223,46,308,1,1,1,440.23728343586095,0.01,56891.27
224,51,538,2,1,3,-122836.98640889474,0.08,97494.22
225,53,538,2,1,3,59514.00203537222,0.15,38065.19
226,39,586,2,1,4,-88044.8395738676,0.21,33020.69
227,48,578,1,1,1,93821.44981223278,0.2,74689.1
228,62,591,3,1,3,96626.70014001676,0.23,107864.87
229,63,591,1,1,1,161912.4211704895,0.19,116974.18
230,54,625,2,1,5,-35319.092950118174,0.11,94859.55
231,61,591,1,1,1,-128849.09742590223,0.08,91259.51
232,62,578,1,1,1,43495.48439976342,0.05,16732.14
233,35,582,2,1,5,103381.52365128926,0.31,32164.98
234,49,315,3,1,3,23423.660990911107,0.06,87559.45
235,63,613,1,1,1,193679.03293037825,0.09,57040.03
236,42,644,3,1,5,-135678.515003635,0.31,49646.7
237,43,644,2,1,3,83667.53277496307,0.13,84971.86
238,41,644,3,1,5,36069.326710338224,0.25,86905.22
239,63,617,1,1,1,-11329.887872589165,0.13,129488.31
240,63,617,3,1,3,-163064.06865838025,0.23,67804.83
241,47,660,1,1,1,-78272.44926069249,0.16,15238.44
242,56,614,3,1,3,-213453.64161984625,0.05,76634.05
243,59,587,1,1,1,14956.151011245996,0.01,113256.34
244,61,619,1,1,1,-38794.263086583785,0.34,37651.69
245,39,318,3,1,3,6494.397835068547,0.27,61230.98
246,52,313,3,1,5,-129588.2467615828,0.18,30783.84
247,51,551,3,1,3,19029.55437766952,0.15,51518.36
248,49,244,1,1,1,155551.47494866466,0.09,58934.54
249,53,551,1,1,1,238117.18968173448,0.3,12128.96
250,47,530,2,1,3,76260.40369285627,0.34,48731.76
251,53,344,1,2,1,-166212.05093496584,0.1,147362.33
252,40,617,2,1,5,-434750.3402374457,0.0,83830.82
253,40,329,3,1,3,25779.912378864967,0.34,83473.1
254,45,336,1,1,1,-130434.70575222936,0.16,121122.01
255,53,301,1,1,1,-166634.7944530859,0.08,38815.39
256,56,316,2,1,2,38981.59201172336,0.3,91818.23
257,50,304,1,1,1,-103524.90130094445,0.29,102214.15
258,38,301,1,1,1,124756.04376335394,0.14,53199.26
259,47,341,1,1,1,-151945.15167919674,0.04,92675.68
260,35,315,1,1,1,58147.96515061047,0.08,117185.82
261,39,315,3,1,3,97732.98624588546,0.0,8555.79
262,37,347,2,1,5,89659.52713612258,0.1,69594.96
263,51,288,1,1,1,621080.6180962581,0.03,30197.71
264,57,293,3,1,2,-142543.5313575417,0.06,30084.0
265,41,324,1,4,1,-100639.21801273512,0.1,43786.12
266,55,281,1,1,1,66372.76945837958,0.02,39865.98
267,58,566,1,1,1,-56551.21720925001,0.28,12798.47
268,58,551,3,1,3,-100655.153904391,0.05,30689.71
269,59,566,1,1,1,-120927.18353398096,0.34,18336.02
270,35,312,1,1,1,-4757.795398838157,0.34,75884.01
271,51,566,1,1,1,-220364.21186609476,0.34,42189.63
272,57,551,1,1,1,-127322.91624256223,0.31,75200.96
273,44,300,1,1,1,125012.24935493604,0.25,52244.51
274,35,337,1,1,1,4125.320732225942,0.35,10346.26
275,59,551,3,1,3,81749.39001199297,0.31,63156.53
276,55,588,2,1,3,-51691.74076581283,0.08,35857.98
277,62,564,1,1,1,14069.463058460571,0.13,5960.53
278,36,298,1,1,1,-39275.235548915065,0.31,26826.4
279,54,625,3,1,4,-167077.00076790125,0.32,59341.81
280,56,385,2,4,3,-25182.237777407743,0.23,21436.99
281,43,327,1,1,1,490431.8440233152,0.09,107067.02
282,63,588,3,1,3,-279468.99255383364,0.12,100852.87
283,36,303,1,1,1,212507.27896132952,0.23,22669.1
284,53,310,2,1,3,4365.179627311174,0.27,43176.58
285,56,585,1,1,1,-76687.50259198,0.13,115776.71
286,54,545,2,1,5,10668.670791465876,0.07,59791.72
287,48,301,1,1,1,-42776.0983490568,0.01,56674.98
288,42,286,1,1,1,-59335.26128276462,0.03,49813.22
289,48,301,1,1,1,-43565.3252496238,0.28,19242.92
290,56,535,2,1,3,235591.96762023872,0.1,79088.86
291,56,535,3,1,3,48907.18992828699,0.08,152621.63
292,51,526,1,1,1,6622.026348388753,0.35,46060.52
293,47,294,3,1,5,59834.15437568378,0.15,82777.01
294,53,526,1,1,1,13193.098606041342,0.33,27203.52
295,42,588,2,1,5,109451.81442640508,0.07,6121.54
296,42,588,2,1,3,126344.67999872568,0.07,45251.94
297,38,301,1,1,1,-246397.6881926916,0.33,37709.43
298,50,526,3,1,4,68296.9086503052,0.31,94159.15
299,46,300,1,1,1,138401.45916765791,0.03,36210.35
300,54,566,1,1,1,70926.68818521428,0.13,101969.84
301,48,248,1,1,1,62828.05990010226,0.07,11307.45
302,36,586,3,1,3,-260095.45141134868,0.02,26995.62
303,41,586,2,1,3,123507.94850517112,0.25,35925.99
304,53,375,1,4,1,11884.943377088151,0.27,18441.8
305,63,625,1,1,1,276598.79118703713,0.14,146135.45
306,43,327,1,1,1,63981.73380278045,0.17,57630.81
307,56,592,1,1,1,-21356.73371809906,0.22,75750.57
308,42,327,2,1,3,89442.35528100336,0.23,218464.46
309,38,685,2,1,3,15213.944014885476,0.05,35075.72
310,36,615,1,1,1,88925.18560864846,0.18,48466.67
311,51,625,3,1,3,84091.39549693743,0.19,61246.11
312,39,303,3,1,3,10696.80670904247,0.18,69055.24
313,53,300,1,4,1,13275.576647414808,0.04,4047.9
314,50,298,3,1,3,66153.37942340296,0.08,18930.41
315,54,310,2,1,3,-176500.6932463185,0.13,68962.83
316,51,591,1,1,1,-247708.59971722652,0.0,13491.09
317,44,566,2,1,5,596927.8623823457,0.0,30332.45
318,43,566,3,1,5,147872.22374847528,0.11,100832.98
319,46,529,2,1,5,-120185.0424129198,0.26,73831.05
320,57,585,1,1,1,-261769.52816732225,0.02,34854.8
321,45,301,1,1,1,-120704.82930860708,0.21,72216.0
322,60,600,2,1,3,63963.6603607208,0.1,3190.42
323,45,657,2,1,5,138902.43088460105,0.2,58804.72
324,42,258,2,1,3,-268075.8639739269,0.11,163576.78
325,44,258,3,3,5,-30174.03849919555,0.1,81455.87
326,35,318,1,1,1,32804.57854218769,0.2,70401.35
327,63,586,1,1,1,-121730.26235176824,0.22,161118.67
328,50,617,1,1,1,168583.90880287287,0.26,58729.14
329,43,294,1,1,1,86768.66478210689,0.03,65279.5
330,37,559,2,1,3,-189309.81529246276,0.03,31219.27
331,52,526,1,1,1,42071.26082248847,0.24,31220.44
332,49,301,1,1,1,77075.4919742791,0.32,201701.18
333,62,497,1,1,1,65724.9258061016,0.19,51473.09
334,36,312,1,1,1,-33853.49444124648,0.07,89207.82
335,61,265,1,1,1,31628.407449336733,0.26,60899.25
336,46,280,3,2,3,-103029.33382579136,0.06,42294.29
337,50,273,2,1,4,-286255.75188316224,0.26,20752.6
338,60,545,2,1,3,-273572.0997763754,0.02,144177.52
339,49,349,1,1,1,55353.95342329539,0.14,73448.51
340,45,344,3,1,3,-125938.43660360535,0.05,84095.44
341,41,344,2,1,3,199616.4719855535,0.12,20634.05
342,37,351,1,1,1,-156134.99332601434,0.23,47634.8
343,43,336,3,1,3,-65252.16664561165,0.02,108656.33
344,44,494,2,4,5,186719.76393955515,0.23,79189.41
345,50,363,1,1,1,138744.85456173166,0.3,55469.3
346,57,399,2,4,3,-6707.456422971889,0.3,45823.68
347,54,395,3,4,3,21381.13863826985,0.25,63908.55
348,42,326,3,1,1,74495.63397385494,0.2,220440.35
349,35,310,3,1,3,-113470.98834138368,0.19,43241.23
350,43,211,1,3,1,637190.4236497876,0.16,126434.27
351,42,303,2,1,5,237970.03012066003,0.26,103773.83
352,45,303,3,1,5,74749.1906880331,0.16,29443.75
353,40,324,2,1,3,278641.0802718428,0.01,42989.44
354,52,566,1,1,1,-227549.91950713508,0.03,188802.02
355,52,566,1,1,1,631315.0886613143,0.04,68785.63
356,35,312,1,1,1,-83752.85956350208,0.1,24458.93
357,46,607,2,1,3,-65961.5125990294,0.34,143516.57
358,50,566,3,1,3,-42262.54237380959,0.23,58572.65
359,52,300,1,4,1,1985.1268647017653,0.03,138062.76
360,63,583,3,1,2,97134.6249281268,0.18,39773.65
361,49,563,3,1,3,64489.16411341445,0.09,62083.49
362,56,598,1,1,1,-16634.668089123497,0.2,54779.62
363,60,625,2,1,2,22477.887654108235,0.29,37161.61
364,60,595,1,1,1,-67663.00942828038,0.19,5132.52
365,52,592,1,1,1,263297.3903277824,0.14,16552.16
366,50,572,2,1,5,182578.82766627212,0.33,65017.72
367,48,571,2,1,5,100664.6340075637,0.13,130196.45
368,48,345,2,1,3,51663.19223522304,0.29,90690.98
369,40,345,3,1,5,-127018.40898068246,0.13,165333.58
370,41,329,1,1,1,-179527.40940697037,0.13,116615.28
371,46,582,1,1,1,82270.07747763641,0.02,82921.53
372,49,505,2,1,3,363185.6261472594,0.07,34624.72
373,45,264,1,1,1,506849.723889321,0.01,42335.61
374,59,535,1,1,1,-76846.68053702933,0.05,63314.12
375,59,595,1,1,1,-106968.795853667,0.14,52272.33
376,62,621,2,1,2,52894.36465202637,0.07,18556.61
377,45,594,1,1,1,116871.31242782422,0.14,108698.48
378,54,598,1,1,1,20583.09928389935,0.13,13136.63
379,37,330,1,1,1,173471.62914230872,0.22,163937.79
380,53,566,1,1,1,-129924.5541115557,0.34,8340.45
381,47,588,1,1,1,86433.30992085015,0.34,79733.98
382,61,595,3,1,2,-140009.03920366548,0.24,77061.87
383,57,620,2,1,5,16039.931860624998,0.24,257033.73
384,55,448,2,1,2,-118811.7923393027,0.24,76447.56
385,36,298,3,1,3,129922.56630886934,0.35,113320.47
386,38,327,1,1,1,-4520.278360270936,0.11,21089.22
387,61,625,3,1,2,-124246.71508273532,0.15,84987.38
388,44,614,3,1,5,-224220.71881479028,0.09,25790.91
389,54,584,1,1,1,218982.16824798257,0.24,16103.67
390,44,345,3,1,3,-107526.58893850211,0.29,88765.53
391,38,621,2,1,3,148160.34849370032,0.2,33249.79
392,49,558,2,1,5,45658.770408501085,0.04,43859.83
393,56,618,1,1,1,-92343.93778493744,0.09,48946.61
394,51,668,1,1,1,151773.3942140784,0.09,78250.33
395,55,298,1,1,1,-21845.058916353268,0.1,37390.76
396,54,576,2,1,4,-36041.12533766768,0.25,76030.01
397,40,583,2,1,3,72133.23196056555,0.21,83212.78
398,50,551,1,1,1,23832.28234769031,0.2,23623.32
399,46,294,1,1,1,197588.4808954041,0.34,48051.75
400,59,551,1,1,1,248067.1638132445,0.31,220824.01
401,37,590,2,1,5,-38851.156907001845,0.26,72880.52
402,55,565,3,1,2,-210285.23703476763,0.06,38994.36
403,45,533,2,1,5,141157.19239114228,0.16,83552.4
404,52,555,1,1,1,-84753.93821087199,0.11,55897.76
405,38,318,3,1,5,1653.6684952497828,0.17,250987.74
406,46,319,1,1,1,265922.5991684385,0.01,58358.17
407,39,362,1,1,1,-188446.6184332517,0.26,81680.3
408,45,389,2,1,3,64583.83669487765,0.26,60002.12
409,41,389,3,1,5,-28458.347999475933,0.11,51620.44
410,45,349,3,1,3,-34810.421291774066,0.19,51835.49
411,42,332,1,1,1,74085.73550674254,0.25,23694.75
412,48,351,1,1,1,25020.899641232445,0.14,76412.59
413,37,360,1,1,1,158040.95045620322,0.15,86529.15
414,49,298,1,1,1,54573.24969019739,0.02,26300.48
415,40,336,3,1,3,-203581.7415927909,0.26,62099.43
416,44,438,2,4,3,-210553.01082387453,0.12,48110.37
417,62,235,3,4,3,26849.847901696223,0.34,34136.5
418,36,308,1,1,1,90338.6416946196,0.01,191238.09
419,45,283,1,1,1,118676.10385404355,0.32,21931.2
420,45,635,1,1,1,166581.37358254072,0.26,133759.88
421,41,338,1,1,1,-179457.47386050338,0.11,105936.04
422,44,312,1,1,1,622016.797658886,0.08,18629.66
423,48,300,3,1,5,-11589.039721821351,0.0,90548.51
424,50,566,1,1,1,101154.96548542612,0.28,10622.66
425,59,551,1,1,1,-146891.8319003947,0.24,56300.61
426,56,563,1,1,1,405840.66284394026,0.27,46864.43
427,56,581,3,1,5,97128.64020558396,0.3,48033.43
428,46,300,1,1,1,91043.876525738,0.3,19555.51
429,58,551,3,1,3,-73040.82850319143,0.04,126539.06
430,36,586,1,1,1,194553.85748426715,0.13,34950.36
431,46,300,1,1,1,244130.49966112955,0.24,147156.12
432,42,635,3,1,3,-18611.01906262068,0.28,60185.82
433,40,563,1,1,1,-87225.95677205171,0.31,55542.08
434,58,551,3,1,3,172444.06080746214,0.25,26652.65
435,37,667,2,1,5,336739.9608254319,0.12,6936.69
436,40,527,2,1,5,336552.96422874683,0.04,152993.85
437,38,619,3,1,5,126280.44225814342,0.03,10717.71
438,59,640,3,3,4,-145177.30375939616,0.03,77562.79
439,52,336,1,1,1,129157.50817660998,0.32,133694.07
440,59,584,1,1,1,-73787.2096387122,0.15,127733.02
441,45,571,2,1,3,545672.7914477362,0.05,227043.13
442,44,298,1,1,1,69677.14541279184,0.17,70418.02
443,37,328,2,1,3,-13420.54819870002,0.27,103030.36
444,48,630,1,1,1,-221364.20193793304,0.13,62510.11
445,49,541,2,1,5,34860.61848638784,0.03,117400.14
446,58,541,2,1,3,-40152.45813079332,0.06,63799.37
447,50,592,1,1,1,-82463.68624326127,0.19,182450.37
448,52,316,1,1,1,-239492.72185586003,0.2,141930.03
449,60,625,1,1,1,53384.31226214366,0.11,41569.52
450,45,272,1,3,1,-195916.85242553183,0.15,13690.61
451,45,630,2,1,3,-100658.6594833358,0.28,111069.7
452,46,630,3,1,3,35700.35901360014,0.32,146461.59
453,39,298,1,1,1,39957.15313734232,0.21,38785.44
454,56,536,2,1,5,99460.5462828954,0.23,119436.75
455,37,589,2,1,5,181285.1849202351,0.01,89296.5
456,39,591,1,1,1,-35569.10669391977,0.2,52436.25
457,35,591,1,1,1,64000.65731249383,0.07,108722.94
458,35,303,1,1,1,31738.34603299433,0.32,36663.87
459,38,303,1,1,1,63638.13610055669,0.15,103105.01
460,49,560,1,1,1,97529.42377673896,0.27,101169.53
461,37,303,1,1,1,210054.54214355373,0.12,93587.15
462,36,303,1,1,1,117155.50393979425,0.2,48779.24
463,55,632,1,1,1,136790.40927683536,0.12,40097.06
464,57,525,2,1,2,-35578.94503088867,0.21,68623.97
465,59,520,1,1,1,87463.31203916897,0.19,67331.9
466,42,294,2,1,3,729775.655901198,0.17,53688.88
467,48,303,1,1,1,-94959.87484692788,0.27,117664.57
468,62,536,1,1,1,11905.048517618328,0.17,37926.26
469,53,334,2,1,3,-90946.06959089098,0.06,133524.56
470,37,320,3,1,5,111837.06484147372,0.2,81009.73
471,60,632,1,1,1,200948.13941101695,0.13,120870.72
472,52,318,1,1,1,45795.70958143499,0.33,32734.05
